Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
521,6 7 11 13,7.59,90.1%,8,3.53
522,1 5 5 6,7.6,95.1%,8.15,3.14
523,2 3 4 12,7.6,94.4%,8.11,3.28
524,3 3 5 5,7.6,89.5%,7.89,3.26
525,1 2 2 4,7.61,95.8%,7.95,2.48
526,1 4 5 5,7.61,95.9%,8.1,2.79
527,2 6 6 6,7.61,96.1%,8.13,3.05
528,4 4 8 8,7.61,95.9%,8.22,3.21
529,2 2 7 8,7.62,93.6%,7.98,3.03
530,2 10 10 13,7.62,89.9%,7.83,3.04
531,9 10 10 13,7.62,95.3%,8.05,3.09
532,1 4 4 4,7.63,95.9%,8.11,2.99
533,6 6 6 9,7.64,89.9%,8.16,3.98
534,3 3 10 13,7.65,89.2%,7.92,3.6
535,3 5 5 7,7.66,90.1%,7.88,3.19
536,5 5 10 11,7.66,87.4%,8,3.74
537,8 8 8 12,7.66,88.3%,8.04,4.03
538,1 8 9 13,7.67,91.6%,8.14,3.67
539,3 5 6 12,7.67,93.4%,8.19,3.29
540,3 4 4 7,7.68,90.4%,8.11,3.53
541,4 8 12 13,7.68,92%,8.33,3.75
542,2 8 12 13,7.69,89.8%,7.96,3.56
543,2 3 5 6,7.7,95.4%,8.18,3.01
544,3 6 10 12,7.7,93.1%,8.24,3.53
545,3 7 9 10,7.7,92%,8.27,3.55
546,4 4 7 9,7.71,93.5%,8.14,3.48
547,1 3 8 12,7.72,96.8%,8.23,2.91
548,2 6 6 13,7.72,84.9%,7.68,3.21
549,3 4 9 12,7.72,94.4%,8.19,3.19
550,9 11 13 13,7.72,92.3%,8.27,3.29
551,2 6 6 11,7.74,83%,7.51,3.25
552,1 2 12 13,7.75,96.3%,8.49,3.44
553,1 2 4 11,7.76,92%,8.01,2.8
554,2 2 2 10,7.76,93.9%,8.19,3.37
555,2 2 4 10,7.76,94.4%,8.11,2.94
556,1 3 5 11,7.77,93%,8.12,2.88
557,1 4 10 11,7.77,95%,8.25,3.23
558,2 4 4 13,7.77,85.5%,7.87,3.55
559,1 2 2 5,7.78,94.6%,8.07,2.85
560,1 9 11 11,7.78,90.1%,7.97,3.09
561,3 4 4 12,7.78,90.6%,8.06,3.37
562,2 4 5 13,7.79,94.7%,8.37,3.35
563,2 7 8 8,7.79,92.6%,8.16,3.19
564,3 4 4 9,7.79,90.9%,8.33,3.39
565,7 10 12 12,7.79,84.7%,7.89,3.93
566,2 6 11 13,7.81,90.1%,8.01,3.43
567,3 6 12 12,7.81,93.2%,8.37,3.56
568,4 7 9 10,7.81,91%,8.34,3.71
569,4 8 10 11,7.81,90.8%,8.12,3.49
570,2 6 8 11,7.82,93.5%,8.29,3.45
571,3 3 4 12,7.83,95.1%,8.45,3.22
572,3 9 12 12,7.84,91%,8.4,3.61
573,8 9 11 13,7.84,90.5%,8.29,3.78
574,1 2 9 12,7.85,92.8%,8.43,3.84
575,4 5 7 8,7.86,95.5%,8.32,3.15
576,5 6 7 8,7.87,93.8%,8.32,3.14
577,5 8 8 9,7.87,87.2%,8.19,3.99
578,1 4 9 12,7.88,96.2%,8.5,3.35
579,3 3 4 7,7.88,90.3%,8.37,3.63
580,1 4 8 11,7.89,95.7%,8.34,2.89
581,2 2 9 11,7.89,91.6%,8.19,3.26
582,3 6 6 9,7.89,96.3%,8.4,3.07
583,2 4 4 11,7.9,84.6%,7.85,3.57
584,5 6 10 11,7.9,90.5%,8.25,3.57
585,5 6 10 10,7.91,86.7%,8.16,3.89
586,5 8 12 12,7.92,75.3%,7.05,3.79
587,1 5 6 10,7.93,91.7%,8.25,3.26
588,2 4 6 10,7.93,94%,8.4,3.39
589,3 12 12 12,7.93,91.2%,8.28,3.45
590,5 6 6 6,7.93,87.5%,8.16,3.65
591,1 6 9 13,7.94,90.8%,8.33,4.05
592,1 4 6 11,7.95,92.6%,8.29,3.24
593,3 4 12 13,7.95,93.3%,8.59,3.77
594,3 9 10 10,7.95,84.9%,7.87,3.54
595,6 6 10 12,7.95,93.8%,8.34,3.18
596,1 2 6 9,7.96,94.5%,8.55,3.6
597,2 5 5 11,7.96,83.2%,7.84,3.54
598,3 5 8 11,7.96,89.5%,8.22,3.51
599,1 4 4 10,7.97,92.2%,8.17,3.47
600,2 2 4 8,7.97,95.8%,8.49,3.1
601,2 6 8 10,7.97,93.5%,8.48,3.57
602,3 4 7 9,7.97,93.4%,8.41,3.67
603,2 7 7 11,7.98,86.3%,7.99,3.73
604,3 6 7 9,8,93.2%,8.49,3.58
605,3 6 10 10,8,85.5%,8,3.76
606,2 2 3 3,8.01,93.3%,8.36,3.24
607,2 2 6 12,8.01,94.1%,8.58,3.55
608,6 6 9 12,8.01,91.8%,8.27,3.38
609,10 12 13 13,8.01,94.5%,8.52,3
610,4 6 8 9,8.02,93.5%,8.52,3.49
611,8 10 13 13,8.02,92.5%,8.4,3.34
612,3 7 12 12,8.03,91.3%,8.43,3.53
613,4 4 4 5,8.03,85%,8.05,3.96
614,7 8 11 13,8.04,90.6%,8.6,3.88
615,1 2 5 9,8.05,95.2%,8.5,3.07
616,4 5 10 11,8.05,88.1%,8.5,4.36
617,2 3 3 6,8.06,96.3%,8.52,2.95
618,2 3 5 11,8.07,94.9%,8.57,3.31
619,3 12 12 13,8.07,92.5%,8.45,3.31
620,6 6 7 10,8.07,84%,8.09,4.22
621,1 4 4 9,8.08,94.2%,8.58,3.55
622,3 3 8 9,8.08,88.5%,8.41,3.89
623,3 4 10 12,8.08,92.7%,8.48,3.55
624,2 5 6 13,8.1,91.5%,8.5,3.6
625,3 4 5 5,8.1,94%,8.78,3.78
626,3 7 10 11,8.11,90.7%,8.37,3.42
627,6 7 8 10,8.11,91.4%,8.62,3.65
628,2 3 4 8,8.13,92.8%,8.89,4.11
629,4 5 8 9,8.13,89.3%,8.55,4.17
630,5 8 8 13,8.14,92.5%,8.49,3.7
631,3 9 12 13,8.15,89.6%,8.62,4
632,2 8 8 9,8.16,90.4%,8.51,3.45
633,4 8 9 10,8.16,89.1%,8.37,3.49
634,2 4 9 13,8.17,93.9%,8.57,3.52
635,10 11 12 13,8.18,96%,8.82,3.57
636,8 10 10 12,8.19,94.4%,8.65,3.43
637,1 3 6 9,8.2,92.8%,8.69,3.37
638,4 4 6 12,8.2,94.3%,8.93,3.89
639,1 3 6 13,8.22,92.1%,8.48,3.18
640,1 8 11 13,8.23,88.3%,8.42,3.6
641,2 5 6 7,8.23,92.5%,8.67,3.67
642,2 7 8 11,8.23,94.9%,8.76,3.57
643,4 7 9 12,8.23,94.7%,8.72,3.31
644,4 8 8 9,8.23,92.5%,8.51,3.2
645,4 10 12 12,8.23,92.2%,8.68,3.49
646,2 2 3 7,8.24,88.3%,8.54,3.85
647,2 7 9 10,8.25,94%,8.67,3.27
648,4 5 9 10,8.25,90.5%,8.59,3.69
649,2 4 8 8,8.26,93.8%,8.92,4.14
650,3 7 8 12,8.26,95.1%,8.77,3.27
651,9 10 12 13,8.26,93.6%,8.86,3.64
652,1 6 11 12,8.27,88.9%,8.29,2.95
653,3 5 8 8,8.27,92.3%,8.73,3.95
654,8 11 12 12,8.27,77.3%,7.59,3.85
655,2 2 4 11,8.28,91.8%,8.72,3.71
656,3 5 6 6,8.28,92.2%,8.81,3.64
657,1 4 9 11,8.29,94.4%,8.93,3.73
658,3 6 9 10,8.29,92.5%,8.69,3.66
659,1 3 4 13,8.3,94.5%,8.87,3.71
660,2 4 8 11,8.3,93%,8.61,3.65
661,4 6 8 12,8.3,94.1%,8.95,3.55
662,1 5 5 13,8.31,93.1%,8.5,3.26
663,3 4 9 11,8.31,89.7%,8.55,4.06
664,1 5 9 10,8.33,93.1%,8.82,3.87
665,2 7 11 12,8.34,91.4%,8.69,3.48
666,4 4 10 12,8.34,90.8%,8.71,4
667,5 6 9 10,8.36,90.8%,8.87,3.84
668,6 8 8 10,8.36,91%,8.82,4.03
669,1 1 7 10,8.37,85%,8.4,4.33
670,2 4 8 12,8.37,94%,9.07,4.28
671,5 5 8 9,8.37,89.9%,8.84,4
672,1 4 5 11,8.38,90.7%,8.66,4.02
673,2 2 6 10,8.38,95.4%,8.81,3.08
674,2 8 9 10,8.38,88.7%,8.56,3.86
675,1 2 8 9,8.39,93.4%,8.97,3.48
676,1 3 4 9,8.39,94.6%,8.94,3.85
677,6 6 7 9,8.39,90.7%,8.79,3.76
678,5 8 9 11,8.41,89.8%,8.72,3.82
679,1 3 12 12,8.42,85.6%,8.72,4.78
680,3 4 7 10,8.44,93.3%,8.71,3.48
681,5 8 11 13,8.45,88.6%,8.58,3.53
682,2 8 9 13,8.46,90%,8.64,3.71
683,1 2 2 7,8.47,91.9%,8.81,3.37
684,1 2 6 13,8.5,91.1%,9.06,3.98
685,2 4 4 4,8.51,94.7%,8.97,3.29
686,3 6 8 9,8.51,93.7%,8.9,3.18
687,5 5 8 8,8.53,84.8%,8.58,4.01
688,2 5 10 11,8.54,94.2%,9.1,3.67
689,2 8 8 11,8.54,84%,8.24,3.61
690,4 7 8 9,8.55,91.9%,8.94,3.78
691,2 4 7 10,8.57,91.2%,8.82,3.86
692,1 6 12 13,8.58,89.3%,8.66,3.34
693,3 4 5 10,8.58,90.3%,8.93,4.14
694,4 4 8 11,8.58,86.8%,8.58,3.86
695,1 2 3 3,8.59,95.7%,8.96,2.98
696,6 6 8 9,8.59,90.3%,8.94,3.61
697,2 3 10 13,8.61,93.5%,9.11,3.95
698,2 10 11 13,8.61,89.7%,8.68,3.45
699,4 4 4 9,8.61,88.1%,8.62,4.06
700,2 4 6 6,8.62,94.3%,9.32,3.9
701,3 3 7 11,8.62,92.2%,8.93,3.65
702,2 3 3 7,8.63,91.9%,8.98,3.69
703,2 9 12 13,8.63,90.8%,9.02,3.91
704,3 3 8 12,8.63,91.6%,9.13,3.93
705,5 6 10 13,8.63,91.1%,9.33,4.39
706,2 9 10 11,8.64,88.8%,8.57,3.38
707,3 11 12 12,8.64,91.1%,9.01,3.45
708,6 8 10 13,8.64,86.6%,8.73,3.87
709,1 6 10 13,8.66,88.3%,8.89,4.23
710,2 6 6 10,8.66,94.1%,9.11,3.63
711,1 3 4 10,8.67,93.1%,8.98,3.44
712,1 4 9 10,8.67,93.6%,9.07,3.72
713,2 4 7 11,8.67,92.7%,9.07,3.86
714,2 2 3 13,8.68,87.6%,8.74,3.73
715,2 4 6 9,8.68,92.1%,9.17,4.15
716,2 8 11 12,8.68,88.5%,8.91,4.23
717,4 4 7 12,8.68,89.5%,8.97,4.18
718,4 5 8 12,8.68,93.5%,9.23,3.78
719,1 2 5 13,8.7,94.4%,9.2,3.62
720,3 6 7 12,8.72,90.3%,9,3.89
721,4 4 4 11,8.72,86.3%,8.9,4.62
722,1 2 7 8,8.73,94.7%,9.22,3.59
723,2 2 4 13,8.73,91%,9.22,4.19
724,2 2 8 10,8.74,94.5%,9.32,3.29
725,3 7 7 13,8.75,93.6%,9.08,3.2
726,6 8 8 11,8.75,87.1%,8.85,3.94
727,1 2 3 11,8.77,95.7%,9.12,3.4
728,1 3 9 13,8.79,93.9%,9.43,4.17
729,1 11 13 13,8.79,91.3%,9.1,3.85
730,6 6 9 11,8.79,88.7%,9.14,4.16
731,4 5 6 7,8.81,89.8%,9.2,3.97
732,4 5 8 8,8.82,86.9%,8.93,4.13
733,6 8 9 13,8.82,94.1%,9.47,3.95
734,1 4 6 7,8.83,87.2%,9.06,4.68
735,1 2 9 13,8.85,93.2%,9.41,4.18
736,4 6 10 12,8.86,93.9%,9.41,4.06
737,2 3 5 9,8.87,92.2%,9.42,4.31
738,5 5 9 10,8.87,86.6%,9.23,4.42
739,2 9 10 13,8.89,90.2%,9.38,4.18
740,1 3 4 7,8.9,95.1%,9.73,3.97
741,2 4 9 9,8.9,90.2%,9.04,3.95
742,4 8 9 11,8.91,92.8%,9.39,3.94
743,7 8 8 11,8.91,80.9%,8.38,4.53
744,3 4 7 7,8.92,94.2%,9.56,3.85
745,2 8 9 11,8.93,90.8%,9.35,3.93
746,2 4 10 13,8.94,89.2%,9.31,4.54
747,3 9 9 10,8.94,86.6%,8.91,3.86
748,2 6 7 8,8.95,89.6%,9.24,4.04
749,2 9 11 11,8.95,89.4%,9.29,4.07
750,3 10 11 12,8.96,89.3%,9.13,3.72
751,4 4 6 11,8.96,86.4%,8.93,4.58
752,7 8 10 13,8.96,92.2%,9.5,4.17
753,2 5 7 10,8.97,92.1%,9.33,3.77
754,9 10 11 13,8.97,89.8%,9.27,3.92
755,6 6 8 11,8.98,83%,8.7,4.55
756,1 4 5 10,8.99,91.4%,9.17,3.68
757,4 11 12 13,8.99,91.3%,9.36,3.89
758,2 3 4 13,9,91.1%,9.39,4.01
759,2 3 7 11,9,92.2%,9.35,4.29
760,5 7 8 8,9,82.6%,8.72,4.8
761,1 2 6 11,9.01,89.8%,9.37,4.3
762,4 5 9 13,9.01,89.3%,9.68,4.98
763,3 7 10 13,9.02,88.3%,9.52,4.81
764,1 1 3 10,9.04,88.4%,9.06,3.92
765,4 5 5 9,9.04,91.5%,9.43,3.93
766,1 5 5 9,9.05,88.6%,9.17,3.7
767,3 5 9 12,9.05,90%,9.35,4.07
768,5 6 6 10,9.05,89%,9.27,3.95
769,1 3 8 8,9.06,86.8%,9.24,4.52
770,4 4 8 10,9.06,91.2%,9.4,4.48
771,1 3 3 10,9.07,90.1%,9.22,4.13
772,1 4 6 9,9.07,86.2%,9.01,4.15
773,4 8 8 12,9.07,94.4%,9.58,3.94
774,6 8 12 12,9.08,91.4%,9.7,4.29
775,3 5 6 9,9.09,92.8%,9.51,3.75
776,5 5 6 7,9.09,91%,9.51,4.08
777,1 2 4 5,9.1,90.6%,9.45,4.22
778,4 4 9 11,9.1,82.1%,8.75,4.72
779,1 5 6 8,9.13,90.5%,9.28,3.94
780,4 12 12 12,9.13,86.5%,9.47,4.86
781,6 6 8 10,9.13,90.5%,9.38,4.21
782,1 2 4 9,9.14,91%,9.58,4.04
783,3 4 4 5,9.14,91.2%,9.52,4.19
784,4 4 8 13,9.14,86.6%,9.05,4.33
785,2 2 3 6,9.15,91.6%,9.46,4.16
786,1 5 9 11,9.17,93.3%,9.65,3.92
787,2 2 5 6,9.17,88.4%,9.47,4.57
788,2 5 8 13,9.17,93.1%,9.63,3.93
789,3 5 6 7,9.17,89.6%,9.23,3.88
790,2 11 12 13,9.18,89.7%,9.58,4.11
791,4 7 10 10,9.18,83.8%,8.91,4.19
792,1 3 5 10,9.19,93.2%,9.67,3.84
793,2 2 5 7,9.19,89.2%,9.23,3.72
794,2 3 9 9,9.19,90.9%,9.6,4.02
795,3 9 10 12,9.19,90.3%,9.4,3.75
796,5 10 10 12,9.25,87%,9.19,3.62
797,6 6 8 13,9.25,83.3%,8.98,4.45
798,2 3 6 10,9.26,92.3%,9.53,3.85
799,2 5 8 9,9.26,92.8%,9.61,3.82
800,2 8 8 10,9.27,92.8%,9.51,3.81
801,3 6 12 13,9.28,86.5%,9.2,4.47
802,1 3 5 7,9.3,89.6%,9.52,4.11
803,2 2 3 11,9.31,86.2%,9.29,4.21
804,3 7 8 9,9.31,87.3%,9.33,3.93
805,4 5 10 13,9.31,91.4%,9.83,4.45
806,6 6 6 12,9.32,89.3%,9.51,4.58
807,2 2 5 11,9.34,87.7%,9.66,4.56
808,4 4 5 10,9.34,85.9%,9.36,4.8
809,1 5 10 13,9.35,88.8%,9.35,3.49
810,2 3 4 11,9.35,88%,9.49,4.23
811,6 8 11 13,9.36,86.2%,9.67,4.66
812,7 12 12 13,9.36,82.8%,9.14,4.23
813,2 3 8 12,9.39,93.2%,9.92,3.89
814,2 10 11 11,9.39,86.2%,9.37,4.06
815,8 8 9 13,9.39,81.2%,8.98,4.9
816,2 2 6 8,9.4,95.5%,9.82,3.55
817,3 4 6 12,9.4,93.5%,9.92,3.99
818,2 3 3 9,9.43,93.1%,9.85,3.81
819,3 7 7 10,9.43,89.4%,9.75,4.32
820,2 3 4 4,9.44,94.3%,9.83,3.61
821,5 7 8 9,9.46,88.7%,9.68,4.26
822,8 8 8 13,9.47,84.2%,9.4,4.41
823,1 2 7 9,9.52,93.4%,10.02,3.92
824,3 4 7 11,9.52,86.8%,9.34,4.64
825,3 5 5 9,9.52,83.4%,9.09,4.19
826,5 6 7 12,9.52,84.6%,9.48,4.44
827,3 9 11 12,9.53,90.3%,10.02,4.52
828,5 9 9 11,9.56,89.5%,9.82,3.88
829,4 5 7 12,9.57,87.9%,9.53,4.02
830,6 6 6 8,9.57,91.4%,9.89,4.25
831,3 3 6 11,9.58,90.3%,9.94,4.55
832,2 3 8 11,9.59,92.7%,10.18,4.05
833,2 4 4 7,9.59,89.2%,9.69,4.32
834,3 3 4 9,9.6,92.3%,9.9,3.86
835,1 6 9 10,9.61,92.2%,9.92,3.85
836,1 9 11 13,9.61,87.7%,9.78,4.2
837,3 3 6 9,9.61,94.4%,10.27,4.03
838,5 8 9 12,9.61,92.2%,10.03,4.04
839,2 5 6 10,9.62,88.3%,9.79,4.62
840,2 6 8 8,9.63,92.9%,10.03,4.12
841,3 3 3 9,9.64,84.3%,9.58,4.9
842,3 4 5 9,9.65,85%,9.48,4.66
843,4 7 7 11,9.66,87.5%,9.83,4.74
844,1 1 4 10,9.67,84.7%,9.42,5.09
845,5 11 12 12,9.69,82.7%,9.26,4.36
846,3 8 9 12,9.7,90.2%,10.11,4.54
847,5 6 8 9,9.72,89.9%,10.01,4.43
848,4 7 8 13,9.73,90.8%,10.23,4.41
849,4 5 5 7,9.75,82.5%,9.26,4.37
850,3 8 8 11,9.77,90.1%,10,4.56
851,3 3 5 9,9.78,87.2%,9.77,4.06
852,3 4 6 10,9.78,90%,10.2,4.83
853,4 5 7 11,9.78,87%,9.95,5.03
854,2 4 5 9,9.81,86.3%,9.83,4.75
855,4 7 11 12,9.83,86.1%,9.91,4.92
856,1 7 12 12,9.85,80.5%,9.13,4.51
857,2 3 6 11,9.85,90.1%,10.1,4.47
858,2 7 9 13,9.86,87.4%,10.04,4.93
859,6 6 8 12,9.86,90.8%,10.17,4.36
860,3 3 7 9,9.88,90.9%,10.1,3.83
861,3 5 9 13,9.91,91.4%,10.25,4.2
862,2 2 4 9,9.94,90.4%,10.17,4.45
863,5 7 9 13,9.95,91%,10.38,4.02
864,6 12 13 13,9.95,87.3%,10,3.82
865,1 5 5 11,9.97,87.7%,10.09,4.24
866,4 4 5 7,9.98,85.2%,9.64,4.61
867,6 9 10 11,9.99,91.5%,10.29,4.12
868,4 9 9 10,10,89.9%,10.26,4.16
869,1 5 6 13,10.01,90.5%,10.37,4.8
870,3 7 8 13,10.02,84.4%,9.94,5.13
871,5 6 9 12,10.02,87.2%,10.08,4.43
872,2 3 9 13,10.04,87.7%,10.28,5.32
873,4 9 12 12,10.04,89.5%,10.45,4.46
874,2 4 6 13,10.06,87.1%,10.27,5.1
875,1 2 5 10,10.07,91.8%,10.32,4.11
876,2 3 4 10,10.07,91.9%,10.47,4.38
877,6 7 9 12,10.08,86.4%,10.02,4.88
878,6 10 12 12,10.09,88.8%,10.37,4.59
879,1 7 9 10,10.1,87%,10,3.98
880,6 6 8 8,10.12,86.2%,9.93,4.55
881,2 4 5 11,10.13,87.3%,10.25,4.77
882,3 3 6 10,10.15,86.7%,10.02,4.34
883,1 8 10 11,10.17,87.3%,10.18,3.52
884,3 3 3 5,10.17,85.6%,9.83,4.23
885,6 11 11 12,10.17,86.6%,10.04,4.07
886,1 3 3 11,10.21,88.3%,10.21,4.76
887,4 5 6 10,10.22,90.4%,10.69,4.46
888,6 8 9 11,10.22,84.4%,10.14,4.85
889,2 4 12 12,10.24,85.9%,10.13,4.7
890,4 9 11 12,10.24,88.7%,10.39,4.31
891,6 7 8 9,10.26,84.5%,9.99,4.59
892,2 6 12 12,10.27,89.2%,10.67,5.14
893,1 5 10 11,10.3,86.4%,10.1,3.74
894,5 5 6 11,10.31,87.2%,10.29,4.71
895,2 3 6 9,10.32,93.3%,10.81,4.22
896,2 5 8 11,10.32,85.9%,10.46,5.18
897,3 4 4 13,10.32,88.8%,10.39,4.34
898,5 5 5 9,10.32,87.5%,10.07,4.21
899,6 8 9 9,10.32,86.3%,10.32,4.28
900,1 11 11 13,10.33,87.5%,10.26,4.3
901,4 6 7 10,10.33,86.9%,10.47,4.9
902,7 8 9 13,10.33,84%,10.01,4.35
903,3 4 8 11,10.34,87%,10.28,5.02
904,2 2 2 5,10.37,78.7%,9.32,4.87
905,4 4 6 13,10.37,82.6%,9.78,5.22
906,2 4 8 9,10.38,83.6%,10.03,4.56
907,1 4 5 13,10.39,87.9%,10.58,4.64
908,3 6 9 11,10.4,86.8%,10.21,4.85
909,1 2 8 13,10.43,91.6%,10.65,4.76
910,3 3 6 13,10.43,86.4%,10.6,5.43
911,1 2 4 7,10.44,89.1%,10.74,5.06
912,4 5 7 9,10.44,87%,10.69,5.18
913,2 4 6 12,10.45,94.4%,11.22,4.85
914,7 9 9 13,10.45,87.8%,10.5,4.67
915,3 4 6 11,10.47,89%,10.68,4.71
916,5 6 8 12,10.47,87.6%,10.45,4.13
917,1 3 5 9,10.51,90.6%,10.73,4.59
918,1 5 9 13,10.51,84.8%,10.36,4.87
919,5 5 8 10,10.51,81%,9.91,4.06
920,2 6 8 12,10.52,94.2%,11.24,4.54
921,3 6 9 12,10.53,92.8%,10.98,4.25
922,4 7 9 13,10.54,84.4%,10.63,5.91
923,5 6 8 10,10.54,87%,10.64,4.62
924,6 6 7 12,10.54,84.2%,10.28,4.82
925,3 3 7 12,10.55,84.4%,10.38,5.39
926,4 6 6 9,10.55,88%,10.9,5.47
927,2 4 6 7,10.56,89.8%,10.65,4.36
928,6 9 12 13,10.56,88.2%,10.66,4.4
929,1 4 4 8,10.59,89.8%,10.78,5.55
930,3 4 5 6,10.6,84%,10.36,5.26
931,2 2 8 8,10.61,91.2%,10.91,4.76
932,3 3 6 7,10.61,88.5%,10.9,4.71
933,5 8 11 12,10.61,87.1%,10.87,4.38
934,1 7 9 11,10.65,85.6%,10.48,4.3
935,2 2 7 12,10.66,83.6%,10.24,4.64
936,4 5 6 8,10.66,87.3%,10.56,4.36
937,6 9 9 11,10.69,82.4%,10.01,5.19
938,1 3 6 11,10.7,88%,10.62,4.33
939,1 2 7 11,10.71,88.2%,10.87,4.8
940,5 6 7 13,10.72,86.2%,10.82,5.54
941,4 5 10 12,10.73,86.8%,10.6,4.48
942,6 7 8 11,10.76,83.7%,10.51,5.19
943,6 11 12 13,10.77,80.1%,9.89,5.14
944,1 3 9 9,10.78,84.9%,10.34,4.14
945,2 3 9 10,10.79,89.9%,11.02,4.35
946,2 5 10 10,10.79,78.8%,9.94,4.23
947,2 3 6 6,10.82,92.1%,11.25,4.42
948,1 2 3 13,10.84,91.5%,11.17,4.85
949,1 4 4 11,10.87,86.6%,10.84,5.35
950,5 10 12 13,10.89,83.4%,10.44,4.52
951,1 7 10 13,10.9,83.5%,10.47,4.67
952,6 7 10 12,10.9,85.2%,10.85,4.89
953,3 4 9 13,10.94,79.1%,9.8,5.54
954,1 2 2 9,10.95,82.5%,10.18,4.58
955,3 4 6 8,10.96,90.6%,11.42,5.07
956,1 3 8 13,10.99,90.5%,11.33,5.1
957,1 9 10 13,10.99,83.7%,10.54,4.58
958,2 3 6 13,10.99,89.8%,11.09,4.62
959,6 10 12 13,11.02,82.3%,10.48,4.9
960,1 2 6 10,11.03,86.7%,10.99,4.98
961,2 5 7 7,11.03,82.3%,10.49,4.71
962,1 6 6 6,11.04,85.9%,10.54,5.13
963,2 7 12 13,11.07,80.2%,10.18,5.13
964,2 2 5 12,11.15,84.4%,10.87,5.24
965,5 9 12 12,11.15,83.1%,10.92,4.84
966,3 3 4 11,11.16,88.5%,11.23,5.55
967,4 4 8 12,11.16,92%,11.84,5.21
968,2 3 4 7,11.19,86.7%,11.07,4.96
969,8 8 10 12,11.21,78.8%,10.1,5.82
970,2 6 8 13,11.22,86.6%,11.11,5.14
971,7 8 8 12,11.22,83%,10.67,4.67
972,3 3 9 12,11.24,87.2%,11.28,5.08
973,2 4 5 6,11.29,91%,11.73,4.5
974,2 3 4 9,11.3,88.3%,11.34,4.85
975,2 6 7 11,11.3,82.6%,10.82,5.3
976,2 3 10 12,11.33,86.8%,11.45,4.2
977,3 5 7 10,11.37,84.6%,11.02,5.28
978,1 3 7 10,11.38,86.4%,11.39,5.39
979,5 8 8 8,11.38,80.9%,10.9,5.45
980,7 7 8 11,11.38,80%,10.37,4.67
981,4 9 10 13,11.39,82.3%,10.89,4.84
982,5 6 6 8,11.39,81.2%,10.81,6.06
983,3 3 6 12,11.41,87.3%,11.66,6.05
984,4 10 12 13,11.41,81.5%,10.61,5.61
985,4 4 7 10,11.42,74.9%,9.33,4.66
986,6 8 8 12,11.42,88.2%,11.63,5.07
987,5 5 8 13,11.43,81%,10.87,4.64
988,3 9 10 13,11.44,82.7%,11.42,6.59
989,5 8 10 11,11.44,87.6%,11.19,4.88
990,1 5 6 7,11.45,89.2%,11.71,4.75
991,1 5 12 12,11.45,80.6%,10.5,5.02
992,3 4 6 6,11.45,90.5%,11.62,4.73
993,2 3 4 5,11.5,84.5%,11.11,5.57
994,2 4 6 8,11.5,93.5%,11.87,4.38
995,2 4 6 11,11.52,85.2%,11.29,5.58
996,2 4 9 12,11.52,87.3%,11.49,4.9
997,4 4 9 12,11.55,78.1%,10.48,4.94
998,2 3 3 10,11.59,85%,11.61,5.03
999,4 4 5 11,11.6,85.1%,11.39,4.81
1000,2 4 4 6,11.61,90%,11.93,4.85
1001,1 6 7 9,11.64,84.3%,11.35,4.67
1002,2 2 8 9,11.65,86.9%,11.86,5.23
1003,3 3 5 12,11.66,87.2%,11.76,5.29
1004,1 4 7 7,11.67,85.3%,11.52,4.79
1005,4 8 11 13,11.68,82.4%,10.91,5.32
1006,2 3 5 7,11.71,89.2%,11.8,4.93
1007,3 4 8 12,11.71,87.5%,11.58,5.57
1008,3 6 7 13,11.71,82.4%,10.98,6.05
1009,8 9 9 12,11.73,82.6%,11.11,4.8
1010,1 3 4 8,11.74,89.6%,11.94,4.82
1011,1 3 7 12,11.79,85.5%,11.22,5.07
1012,3 7 9 11,11.8,88.4%,11.94,4.9
1013,1 5 7 9,11.81,84.9%,11.35,4.97
1014,7 8 10 10,11.81,79.2%,11.02,5.21
1015,3 3 5 13,11.86,85.2%,11.62,4.85
1016,3 7 8 11,11.9,83.4%,11.54,5.97
1017,4 5 6 13,11.9,78.2%,10.47,5.17
1018,2 5 6 6,11.91,78.2%,10.43,6.03
1019,6 8 9 12,11.95,86.5%,11.88,5.13
1020,3 4 6 9,11.96,82.7%,11.32,5.8
1021,3 5 7 9,11.98,86%,11.72,5
1022,3 5 10 13,11.98,82.4%,11.2,5.45
1023,4 5 5 10,12,81.2%,11.12,4.47
1024,4 6 7 12,12,81.3%,11.52,5.67
1025,1 3 7 7,12.01,85.3%,11.74,4.81
1026,2 5 8 10,12.03,82.7%,11.2,4.93
1027,2 7 9 11,12.03,83.6%,11.61,5.5
1028,6 7 9 9,12.06,80.6%,11.24,6.14
1029,1 4 8 9,12.07,89%,12.16,5.21
1030,2 6 10 13,12.07,84.7%,11.68,5.62
1031,5 5 8 12,12.09,79.4%,11.08,5.11
1032,4 8 8 10,12.13,85.7%,11.94,5.6
1033,3 5 6 10,12.15,85.8%,11.86,5.63
1034,1 2 7 12,12.16,77.1%,10.24,5.9
1035,4 6 8 13,12.16,80.4%,11.2,5.26
1036,1 3 3 6,12.18,87.2%,12.17,5.29
1037,3 7 9 12,12.18,85.5%,11.98,5.7
1038,4 6 6 12,12.19,86%,12,6.07
1039,2 3 7 13,12.2,86.3%,12,5.43
1040,2 3 5 13,12.25,85.7%,12.12,5.44
